acpi-support-base 0.140-5+deb7u3
libxen-4.1 4.1.4-3+deb7u3
libxen-4.4:amd64 4.4.0-5~bpo70+1
libxenstore3.0:amd64 4.4.0-5~bpo70+1
libxext6:amd64 2:1.3.1-2+deb7u1
libxfixes3:amd64 1:5.0-4+deb7u1
libxft2:amd64 2.3.1-1
libxi6:amd64 2:1.6.1-1+deb7u1
libxinerama1:amd64 2:1.1.2-1+deb7u1
libxml2:amd64 2.8.0+dfsg1-7+wheezy2
libxml2-dev:amd64 2.8.0+dfsg1-7+wheezy2
libxrandr2:amd64 2:1.3.2-2+deb7u1
libxrender1:amd64 1:0.9.7-1+deb7u1
libxslt1-dev 1.1.26-14.1
libxslt1.1:amd64 1.1.26-14.1
libxtst6:amd64 2:1.2.1-1+deb7u1
libyajl2 2.0.4-2
libyaml-0-2:amd64 0.1.4-3.2~bpo70+1
linux-base 3.5
linux-compiler-gcc-4.6-x86 3.16.5-1~bpo70+1
linux-headers-3.14-0.bpo.2-amd64 3.14.15-2~bpo70+1
linux-headers-3.14-0.bpo.2-common 3.14.15-2~bpo70+1
linux-image-3.14-0.bpo.2-amd64 3.14.15-2~bpo70+1
linux-image-3.2.0-4-amd64 3.2.63-2+deb7u1
linux-image-amd64 3.2+46
linux-kbuild-3.14 3.14-1~bpo70+1
linux-libc-dev:amd64 3.2.63-2+deb7u1
lldpad 0.9.44-1
locales 2.13-38+deb7u6
login 1:4.1.5.1-1
logrotate 3.8.1-4
lsb-base 4.1+Debian8+deb7u1
lsb-release 4.1+Debian8+deb7u1
lshw 02.16-1
lsof 4.86+dfsg-1
ltrace 0.5.3-2.1
lvm2 2.02.95-8
make 3.81-8.2
makedumpfile 1.4.3-1
man-db 2.6.2-1
manpages 3.44-1
manpages-dev 3.44-1
mariadb-client 5.5.40+maria-1~wheezy
mariadb-client-5.5 5.5.40+maria-1~wheezy
mariadb-client-core-5.5 5.5.40+maria-1~wheezy
mariadb-common 5.5.40+maria-1~wheezy
mariadb-galera-server 5.5.40+maria-1~wheezy
mariadb-galera-server-5.5 5.5.40+maria-1~wheezy
mawk 1.3.3-17
megacli 8.07.14-1
memcached 1.4.13-0.2+deb7u1
mime-support 3.52-1
module-init-tools 9-3
mongodb-10gen 2.4.12
mount 2.20.1-5.3
mtr 0.82-3
multiarch-support 2.13-38+deb7u6
mysql-client 5.5.40-0+wheezy1
mysql-common 5.5.40+maria-1~wheezy
nagios-plugin-check-multi 0.26-1
nagios-plugins-basic 1.4.16-1
nagios-plugins-common 1.4.16-1
nagios-plugins-standard 1.4.16-1
ncdu 1.8-1
ncurses-base 5.9-10
ncurses-bin 5.9-10
net-tools 1.60-24.2
netbase 5.0
netcat-openbsd 1.105-7
neutron-common 2014.1.2-1~bpo70+1
neutron-dhcp-agent 2014.1.2-1~bpo70+1
neutron-l3-agent 2014.1.2-1~bpo70+1
neutron-lbaas-agent 2014.1.2-1~bpo70+1
neutron-metadata-agent 2014.1.2-1~bpo70+1
neutron-metering-agent 2014.1.2-1~bpo70+1
neutron-plugin-linuxbridge-agent 2014.1.2-1~bpo70+1
neutron-plugin-openvswitch-agent 2014.1.2-1~bpo70+1
neutron-server 2014.1.2-1~bpo70+1
nfs-common 1:1.2.6-4
nmap 6.00-0.3+deb7u1
nova-api 2014.1.2-7~bpo70+1
nova-cert 2014.1.2-7~bpo70+1
nova-common 2014.1.2-7~bpo70+1
nova-compute 2014.1.2-7~bpo70+1
nova-compute-kvm 2014.1.2-7~bpo70+1
nova-conductor 2014.1.2-7~bpo70+1
nova-consoleauth 2014.1.2-7~bpo70+1
nova-consoleproxy 2014.1.2-7~bpo70+1
nova-scheduler 2014.1.2-7~bpo70+1
novnc 1:0.4+dfsg+1+20131010+gitf68af8af3d-2~bpo70+1
ntp 1:4.2.6.p5+dfsg-2
ntpdate 1:4.2.6.p5+dfsg-2
ntpstat 0.0.0.1-1~bpo70+1
open-iscsi 2.0.873-3
openssh-client 1:6.0p1-4+deb7u2
openssh-server 1:6.0p1-4+deb7u2
openssl 1.0.1e-2+deb7u13
openstack-compute-node 0.8~bpo70+1
openstack-dashboard 2014.1.2-4~bpo70+1
openstack-dashboard-apache 2014.1.2-4~bpo70+1
openstack-pkg-tools 12~bpo70+1
openvswitch-common 2.3.0+git20140819-2~bpo70+1
openvswitch-switch 2.3.0+git20140819-2~bpo70+1
pacemaker 1.1.7-1
parted 2.3-12
passwd 1:4.1.5.1-1
patch 2.6.1-3
pciutils 1:3.1.9-6
percona-nagios-plugins 1.1.4-1
percona-toolkit 2.1.2-1
percona-xtrabackup 2.2.6-5042-1.wheezy
perl 5.14.2-21+deb7u2
perl-base 5.14.2-21+deb7u2
perl-modules 5.14.2-21+deb7u2
pm-utils 1.4.1-9
powermgmt-base 1.31
procps 1:3.3.3-3
psmisc 22.19-1+deb7u1
puppet 3.7.3-1puppetlabs1
puppet-common 3.7.3-1puppetlabs1
puppetlabs-release 1.0-11
python 2.7.3-4+deb7u1
python-amqp 1.0.13-1~bpo70+1
python-amqplib 1.0.2-1
python-anyjson 0.3.3-1~bpo70+1
python-appconf 0.5-3~bpo70+1
python-apt 0.8.8.2
python-apt-common 0.8.8.2
python-argparse 1.2.1-2
python-babel 1.3+dfsg.1-3~bpo70+1
python-babel-localedata 1.3+dfsg.1-3~bpo70+1
python-boto 2.20.1-2~bpo70+1
python-bs4 4.1.0-1
python-bson 2.6.2-1~bpo70+1
python-ceilometer 2014.1.2-1~bpo70+1
python-ceilometerclient 1.0.9-1~bpo70+1
python-ceph 0.80.1-1~bpo70+1
python-chardet 2.0.1-2
python-cheetah 2.4.4-3
python-cinder 2014.1.2-1~bpo70+1
python-cinderclient 1:1.0.8-1~bpo70+1
python-cliff 1.4.5-1~bpo70+1
python-cloudfiles 1.7.11-2~bpo70+1
python-cmd2 0.6.7-1.1~bpo70+1
python-compressor 1.4-1~bpo70+1
python-concurrent.futures 2.1.6-3~bpo70+1
python-configobj 4.7.2+ds-4
python-croniter 0.3.4-1~bpo70+1
python-crypto 2.6.1-2~bpo70+1
python-d2to1 0.2.11-1~bpo70+1
python-daemon 1.5.5-1
python-dateutil 1.5+dfsg-0.1
python-decorator 3.3.3-1
python-designateclient 1.0.3-1~bpo70+1
python-dev 2.7.3-4+deb7u1
python-django 1.4.5-1+deb7u8
python-django-horizon 2014.1.2-4~bpo70+1
python-django-nose 1.1-1
python-dns 2.3.6-1+deb7u1
python-dnspython 1.10.0-1
python-dogpile.cache 0.5.4-1~bpo70+1
python-dogpile.core 0.4.1+dfsg1-2~bpo70+1
python-eventlet 0.13.0-1~bpo70+1
python-extras 0.0.3-4~bpo70+1
python-feedparser 5.1.2-1
python-fixtures 0.3.14-2~bpo70+1
python-flask 0.10.1-2~bpo70+1
python-formencode 1.2.4-2
python-gflags 1.5.1-1
python-glance 2014.1.2-1~bpo70+1
python-glanceclient 1:0.12.0-1~bpo70+1
python-gnupginterface 0.3.2-9.1
python-greenlet 0.4.0-1~bpo70+1
python-happybase 0.8-1~bpo70+1
python-heat 2014.1.2-1~bpo70+1
python-heatclient 0.2.9-1~bpo70+1
python-httplib2 0.8-2~bpo70+1
python-ipaddr 2.1.10-1
python-iso8601 0.1.10-0.1~bpo70+1
python-itsdangerous 0.22-1~bpo70+1
python-jinja2 2.6-1
python-json-patch 1.3-5~bpo70+1
python-json-pointer 1.0-2~bpo70+1
python-jsonpatch 1.3-5~bpo70+1
python-jsonpath-rw 1.2.0-1~bpo70+1
python-jsonrpclib 0.1.3-1~bpo70+1
python-jsonschema 2.3.0-1~bpo70+1
python-keyring 2.1-1~bpo70+1
python-keystone 2014.1.2.1-1~bpo70+1
