subunit 0.0.18-5~bpo70+1
sudo 1.8.5p2-1+nmu1
syslinux-common 2:4.05+dfsg-6+deb7u1
sysv-rc 2.88dsf-41+deb7u1
sysvinit 2.88dsf-41+deb7u1
sysvinit-utils 2.88dsf-41+deb7u1
tar 1.26+dfsg-0.1
tcpdump 4.3.0-1+deb7u1
td-agent 2.1.1-0
ttf-dejavu-core 2.33-3
tzdata 2014h-0wheezy1
tzdata-java 2014h-0wheezy1
ucf 3.0025+nmu3
uchiwa 0.4.0-1
udev 175-7.2
unattended-upgrades 0.79.5+wheezy1
util-linux 2.20.1-5.3
vim 2:7.3.547-7
vim-common 2:7.3.547-7
vim-runtime 2:7.3.547-7
virt-what 1.12-1
websockify 0.6.0+dfsg1-1~bpo70+1
wget 1.13.4-3+deb7u2
x11-common 1:7.7+3~deb7u1
xz-utils 5.1.1alpha+20120614-2
zlib1g:amd64 1:1.2.7.dfsg-13
zlib1g-dev:amd64 1:1.2.7.dfsg-13
